Rank,TeamName,Score,LastSubmissionDate
1,Isaiah @ Tufa Labs,1765.8,2026-06-14 01:18:29
2,Jake Will,1746.0,2026-06-09 23:23:04
3,Ender,1721.4,2026-06-17 08:47:42
4,M & J & M.ver2,1704.5,2026-06-17 09:53:47
5,flg,1650.0,2026-06-17 08:55:39
6,Audun Ljone Henriksen,1608.4,2026-06-16 22:28:46
7,Xiangyu Liu,1604.8,2026-06-17 01:39:52
8,Boey,1600.6,2026-06-16 06:27:44
9,Hober Malloc,1586.1,2026-06-16 08:42:45
10,Vadasz & Ascalon,1551.1,2026-06-13 14:50:58
11,213tubo,1538.1,2026-06-16 12:34:14
12,TonyK,1511.1,2026-06-12 23:19:58
13,moriiiiiiiiim,1510.7,2026-06-17 06:31:55
14,Felix M Neumann,1503.5,2026-06-13 11:12:42
15,dragon warrior,1487.4,2026-06-17 07:55:33
16,typeIIIfairy,1486.2,2026-06-17 06:18:29
17,Ebi,1478.5,2026-06-15 16:20:52
18,Gregor Lied,1471.3,2026-06-17 08:37:01
19,Scool,1470.5,2026-06-16 19:16:37
20,Nebraskinator,1459.8,2026-06-14 03:21:46
